"id","code","name","description","type","is_active","created_at","updated_at","user_id"
1,INCOME,Income,"Salary, Service charges, Business incomes",I,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
2,,Interest Received,"Interest income from bank, post office, others",I,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
3,,Soap Sales,"",I,1,"2025-12-13 12:44:00.941 +00:00","2025-12-13 12:44:00.941 +00:00",1
4,,Food,"Groceries, Vegetables, Food, Milk, Restaurants",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
6,,Dress,"Ready-made, materials",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
7,,Mobile Recharge,Mobile recharge,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
8,,Repairs and Maintenance,Repairs and maintenance,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
9,,Electricity,Electricity,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
10,,School/College Fees,School or college fees,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
11,,Entertainment,"Movie, OTT/Youtube subscription",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
12,,Personal Expenses,Personal expenses to family members,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
13,,Donations,"Donations, charity, others",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
14,,Income Tax,Income tax,E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
15,,Sales Tax,"GST, VAT",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-01 04:46:44.821 +00:00",1
16,,Savings,"Chits, Gold savings, etc.,",E,1,"2025-12-01 04:46:44.821 +00:00","2025-12-03 13:01:45.434 +00:00",1
17,,Home Expenses,Home expenses,E,1,"2025-12-01 08:09:56.413 +00:00","2025-12-01 08:09:56.413 +00:00",1
18,,Credit Card Payment,Credit card payment,E,1,"2025-12-01 13:59:02.607 +00:00","2025-12-16 13:26:41.206 +00:00",1
19,,Jewel Loan Repayment,"",E,1,"2025-12-03 13:09:59.436 +00:00","2025-12-03 13:09:59.436 +00:00",1
20,,Loan Repayment,"",E,1,"2025-12-03 13:11:05.109 +00:00","2025-12-03 13:11:05.109 +00:00",1
21,,Insurance Paid,"",E,1,"2025-12-04 05:20:04.084 +00:00","2025-12-04 05:20:04.084 +00:00",1
22,,Travel/Transport Expenses,"Petrol, Travel, Transport expenses",E,1,"2025-12-13 12:34:24.429 +00:00","2025-12-13 12:34:24.429 +00:00",1
23,,Subscriptions,"",E,1,"2025-12-16 05:46:08.252 +00:00","2025-12-16 05:46:08.252 +00:00",1
