"id","name","description","amount","date","category_id","is_active","created_at","updated_at","user_id"
1,Amma,Personal expenses to Amma,,"",12,1,"2025-12-01 07:50:37.185 +00:00","2025-12-01 07:50:37.185 +00:00",1
2,Seetha,Personal expenses to Seetha,,"",12,1,"2025-12-01 07:53:05.728 +00:00","2025-12-01 07:53:05.728 +00:00",1
3,Vallalar Annadhanam,Vallalar annadhanam,,,13,1,"2025-12-01 07:53:36.885 +00:00","2025-12-01 07:53:36.885 +00:00",1
5,Krithiga - SSA (PO),SSA in post office for Krithiga,,,16,1,"2025-12-01 07:55:54.427 +00:00","2025-12-01 07:55:54.427 +00:00",1
6,SBI Card EMI,SBI Card EMI,,,18,1,"2025-12-01 07:56:17.925 +00:00","2025-12-01 14:00:14.639 +00:00",1
7,ICICI AmazonPay,ICICI AmazonPay,,,18,1,"2025-12-01 07:56:48.238 +00:00","2025-12-16 13:34:30.072 +00:00",1
8,Mohan Chit - Group 1 (2nd Sunday),Mohan Chit - group 1 (2nd Sunday),,,16,1,"2025-12-01 07:58:29.574 +00:00","2025-12-01 07:58:29.574 +00:00",1
9,Mohan Chit - Group 2 (3rd Sunday),Mohan Chit - group 2 (3rd Sunday),,,16,1,"2025-12-01 07:59:38.374 +00:00","2025-12-01 07:59:38.374 +00:00",1
10,Santhi Chit - Group 1 (15th),Santhi Chit - Group 1 (15th),,,16,1,"2025-12-01 07:59:58.305 +00:00","2025-12-01 07:59:58.305 +00:00",1
11,Santhi Chit - Group 2 (15th),Santhi Chit - Group 2 (15th),,,16,1,"2025-12-01 08:00:16.601 +00:00","2025-12-01 08:00:16.601 +00:00",1
12,GRT Monthly Gold Savings,GRT Monthly Gold Savings,,,16,1,"2025-12-01 08:00:39.592 +00:00","2025-12-01 08:00:39.592 +00:00",1
14,EB - Home,EB - Home,,,9,1,"2025-12-01 08:01:35.388 +00:00","2025-12-01 08:01:35.388 +00:00",1
15,EB - Underground,EB - Underground,,,9,1,"2025-12-01 08:01:46.966 +00:00","2025-12-01 08:01:46.966 +00:00",1
16,Home Expenses,Home Expenses,,"",17,1,"2025-12-01 08:10:07.243 +00:00","2025-12-01 08:10:07.243 +00:00",1
17,ICICI Rupay,ICICI Rupay,,"",18,1,"2025-12-01 08:13:28.744 +00:00","2025-12-02 03:17:49.086 +00:00",1
20,Service Charges (AuroiTech),Service charges from AuroiTech with GST,,"",1,1,"2025-12-02 02:43:57.213 +00:00","2025-12-05 13:46:59.414 +00:00",1
21,Service Charges (Aravind),Service Charges (Aravind),,,1,1,"2025-12-02 02:44:21.640 +00:00","2025-12-02 02:44:21.640 +00:00",1
22,Service Charges (Others),"",,,1,1,"2025-12-02 02:44:51.698 +00:00","2025-12-02 02:44:51.698 +00:00",1
25,Loan from FandaTech,"",,"",1,1,"2025-12-03 12:38:35.536 +00:00","2025-12-03 12:39:00.368 +00:00",1
26,Jewel Loan (SBI),"",,"",19,1,"2025-12-03 13:10:14.956 +00:00","2025-12-03 13:10:14.956 +00:00",1
28,Arun Phone EMI,"",,"",1,1,"2025-12-04 04:11:39.310 +00:00","2025-12-05 02:11:37.307 +00:00",1
29,Bajaj Allianz Insurance,"",,"",21,1,"2025-12-04 05:20:43.055 +00:00","2025-12-04 05:20:43.055 +00:00",1
30,Mobile recharge,"",,"",7,1,"2025-12-05 02:12:43.503 +00:00","2025-12-05 02:12:43.503 +00:00",1
31,Repairs and Maintenance,"",,"",8,1,"2025-12-13 12:31:45.994 +00:00","2025-12-13 12:31:45.994 +00:00",1
32,Transport/Travel Expenses,"",,"",22,1,"2025-12-13 12:34:32.925 +00:00","2025-12-13 12:34:32.925 +00:00",1
33,Soap Sales,"",,"",3,1,"2025-12-13 12:44:11.500 +00:00","2025-12-13 12:44:11.500 +00:00",1
36,YouTube Subscription,Annual plan,,"",23,1,"2025-12-16 05:46:31.443 +00:00","2025-12-16 05:46:31.443 +00:00",1
37,Loan Repayment,"",,"",20,1,"2025-12-16 05:47:35.776 +00:00","2025-12-16 05:47:35.776 +00:00",1
